It	N
has	N
charted	N
the	N
worlds	N
highest	N
peaks	N
,	N
the	N
ocean	N
floor	N
,	N
the	N
Amazon	N
rainforest	N
and	N
even	N
provided	N
a	N
glimpse	C
into	N
North	N
Korea	N
.	N
	
But	N
Googles	N
mission	C
to	N
map	N
the	N
world	N
has	N
largely	C
steered	N
clear	N
of	N
the	N
inhospitable	N
Arctic.Now	N
,	N
however	N
,	N
the	N
search-engine	N
firm	N
is	N
embarking	N
on	N
what	N
might	N
be	N
the	N
most	N
significant	C
update	N
to	N
centuries	N
of	N
polar	N
cartography	N
and	N
one	N
it	N
hopes	N
will	N
help	N
provide	N
a	N
better	N
understanding	C
of	N
life	N
on	N
the	N
permafrost	N
for	N
millions	C
of	N
web	N
users	N
.	N
	
Google	N
has	N
flown	N
a	N
small	N
team	N
to	N
Iqaluit	N
,	N
the	N
largest	N
town	N
in	N
the	N
Canadian	N
territory	C
of	N
Nunavut	N
,	N
armed	C
with	N
their	N
warmest	N
winter	N
gear	C
,	N
a	N
stack	N
of	N
laptop	N
computers	N
and	N
an	N
18kg	N
backpackmounted	N
telescopic	N
camera.Helped	N
by	N
an	N
Inuit	N
mapping	N
expert	N
,	N
and	N
stalked	N
by	N
curious	N
locals	N
,	N
the	N
team	N
spent	N
four	N
days	C
trudging	N
through	N
the	N
terrain	N
and	N
collecting	N
the	N
images	N
and	N
information	N
that	N
will	N
give	N
the	N
isolated	C
community	C
on	N
the	N
tundra	N
of	N
Baffin	N
Island	N
what	N
urbanites	N
across	N
the	N
globe	N
now	N
take	N
for	N
granted.The	N
town	N
of	N
7000	N
people	N
will	N
go	N
on	N
display	N
via	N
Googles	N
popular	N
Street	N
View	N
application	N
in	N
July	N
2013.Aaron	N
Brindle	N
,	N
project	N
leader	N
,	N
said	N
:	N
I	N
live	N
in	N
Toronto	N
and	N
I	N
absolutely	N
take	N
for	N
granted	N
that	N
everything	N
is	N
where	N
it	N
should	N
be	N
and	N
that	N
this	N
map	N
is	N
kind	N
of	N
my	N
world	N
,	N
but	N
for	N
so	N
long	N
that	N
hasnt	N
been	N
the	N
case	N
in	N
the	N
north.Unlike	N
more	N
populous	N
and	N
accessible	C
parts	N
of	N
the	N
world	N
,	N
which	N
have	N
been	N
mapped	N
using	N
a	N
special	N
camera	N
mounted	N
on	N
a	N
car	N
roof	N
,	N
the	N
Iqaluit	N
project	N
had	N
mappers	N
hiking	N
the	N
towns	N
snow-packed	N
roads	N
and	N
traversing	N
little-known	N
trails	N
,	N
some	N
of	N
which	N
are	N
made	N
of	N
ice	N
and	N
disappear	N
in	N
the	N
brief	N
summer	N
months.The	N
team	N
also	N
cut	N
a	N
path	N
along	N
part	N
of	N
a	N
15km	N
cul-de-sac	N
known	C
as	N
the	N
Road	N
to	N
Nowhere	N
,	N
despite	N
warnings	N
about	N
the	N
risk	C
from	N
